estado,voto,genero,edad,ponderado,homo_pon,partido,rango_edad,total
NA,NA,Hombres,5,108310.66666666669,109652.47242672744,PAN-PRI-PRD,Desconocido,-109652.47242672744
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Hombres,5,108310.66666666669,109652.47242672744,Ninguno,Desconocido,-109652.47242672744
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Mujeres,2,148568.65384615384,150409.19533325185,MORENA-PT-Partido Verde,Desconocido,150409.19533325185
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,PAN-PRI-PRD,Desconocido,80995.5576404452
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,Ninguno,Desconocido,-93311.13482870725
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,PAN-PRI-PRD,Desconocido,-66368.41332833441
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,Ninguno,Desconocido,-93311.13482870725
NA,NA,Hombres,5,108310.66666666669,109652.47242672744,PAN-PRI-PRD,Desconocido,-109652.47242672744
NA,NA,Mujeres,5,145739.8260869565,147545.3226657521,MORENA-PT-Partido Verde,Desconocido,147545.3226657521
NA,NA,Hombres,5,108310.66666666669,109652.47242672744,MORENA-PT-Partido Verde,Desconocido,-109652.47242672744
NA,NA,Hombres,2,170661.0888888889,172775.32231701558,MORENA-PT-Partido Verde,Desconocido,-172775.32231701558
NA,NA,Hombres,5,108310.66666666669,109652.47242672744,Ninguno,Desconocido,-109652.47242672744
NA,NA,Mujeres,2,148568.65384615384,150409.19533325185,PAN-PRI-PRD,Desconocido,150409.19533325185
NA,NA,Mujeres,2,148568.65384615384,150409.19533325185,MORENA-PT-Partido Verde,Desconocido,150409.19533325185
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,PAN-PRI-PRD,Desconocido,69652.77815719323
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Hombres,2,170661.0888888889,172775.32231701558,MORENA-PT-Partido Verde,Desconocido,-172775.32231701558
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,5,108310.66666666669,109652.47242672744,MORENA-PT-Partido Verde,Desconocido,-109652.47242672744
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Mujeres,5,145739.8260869565,147545.3226657521,PAN-PRI-PRD,Desconocido,147545.3226657521
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,Ninguno,Desconocido,-66368.41332833441
NA,NA,Mujeres,5,145739.8260869565,147545.3226657521,MORENA-PT-Partido Verde,Desconocido,147545.3226657521
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,Ninguno,Desconocido,-66368.41332833441
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,PAN-PRI-PRD,Desconocido,69652.77815719323
NA,NA,Hombres,2,170661.0888888889,172775.32231701558,MORENA-PT-Partido Verde,Desconocido,-172775.32231701558
NA,NA,Mujeres,5,145739.8260869565,147545.3226657521,MORENA-PT-Partido Verde,Desconocido,147545.3226657521
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,Ninguno,Desconocido,69652.77815719323
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,PAN-PRI-PRD,Desconocido,-66368.41332833441
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Mujeres,2,148568.65384615384,150409.19533325185,MORENA-PT-Partido Verde,Desconocido,150409.19533325185
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,PAN-PRI-PRD,Desconocido,-66368.41332833441
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,PAN-PRI-PRD,Desconocido,69652.77815719323
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,PAN-PRI-PRD,Desconocido,-93311.13482870725
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Mujeres,5,145739.8260869565,147545.3226657521,PAN-PRI-PRD,Desconocido,147545.3226657521
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,Ninguno,Desconocido,69652.77815719323
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,PAN-PRI-PRD,Desconocido,80995.5576404452
NA,NA,Hombres,5,108310.66666666669,109652.47242672744,PAN-PRI-PRD,Desconocido,-109652.47242672744
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,PAN-PRI-PRD,Desconocido,80995.5576404452
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,PAN-PRI-PRD,Desconocido,69652.77815719323
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,PAN-PRI-PRD,Desconocido,80995.5576404452
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,PAN-PRI-PRD,Desconocido,80995.5576404452
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,PAN-PRI-PRD,Desconocido,-93311.13482870725
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,Ninguno,Desconocido,-66368.41332833441
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,Movimiento Ciudadano,Desconocido,69652.77815719323
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,PAN-PRI-PRD,Desconocido,69652.77815719323
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Mujeres,5,145739.8260869565,147545.3226657521,PAN-PRI-PRD,Desconocido,147545.3226657521
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Mujeres,2,148568.65384615384,150409.19533325185,PAN-PRI-PRD,Desconocido,150409.19533325185
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Mujeres,5,145739.8260869565,147545.3226657521,Ninguno,Desconocido,147545.3226657521
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,PAN-PRI-PRD,Desconocido,-93311.13482870725
NA,NA,Hombres,2,170661.0888888889,172775.32231701558,MORENA-PT-Partido Verde,Desconocido,-172775.32231701558
NA,NA,Mujeres,5,145739.8260869565,147545.3226657521,PAN-PRI-PRD,Desconocido,147545.3226657521
NA,NA,Hombres,5,108310.66666666669,109652.47242672744,Ninguno,Desconocido,-109652.47242672744
NA,NA,Hombres,2,170661.0888888889,172775.32231701558,Ninguno,Desconocido,-172775.32231701558
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,PAN-PRI-PRD,Desconocido,-93311.13482870725
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,Movimiento Ciudadano,Desconocido,80995.5576404452
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,PAN-PRI-PRD,Desconocido,-93311.13482870725
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,Ninguno,Desconocido,-66368.41332833441
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,Ninguno,Desconocido,80995.5576404452
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,PAN-PRI-PRD,Desconocido,69652.77815719323
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,Ninguno,Desconocido,80995.5576404452
NA,NA,Hombres,5,108310.66666666669,109652.47242672744,MORENA-PT-Partido Verde,Desconocido,-109652.47242672744
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,Ninguno,Desconocido,69652.77815719323
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,Ninguno,Desconocido,-66368.41332833441
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,Ninguno,Desconocido,69652.77815719323
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,Ninguno,Desconocido,-66368.41332833441
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,Ninguno,Desconocido,-66368.41332833441
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,PAN-PRI-PRD,Desconocido,80995.5576404452
NA,NA,Mujeres,5,145739.8260869565,147545.3226657521,MORENA-PT-Partido Verde,Desconocido,147545.3226657521
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,PAN-PRI-PRD,Desconocido,-93311.13482870725
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,Ninguno,Desconocido,-66368.41332833441
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,Ninguno,Desconocido,-66368.41332833441
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,Movimiento Ciudadano,Desconocido,69652.77815719323
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,PAN-PRI-PRD,Desconocido,80995.5576404452
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,2,170661.0888888889,172775.32231701558,MORENA-PT-Partido Verde,Desconocido,-172775.32231701558
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,PAN-PRI-PRD,Desconocido,-93311.13482870725
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,PAN-PRI-PRD,Desconocido,-93311.13482870725
NA,NA,Hombres,5,108310.66666666669,109652.47242672744,PAN-PRI-PRD,Desconocido,-109652.47242672744
NA,NA,Hombres,5,108310.66666666669,109652.47242672744,MORENA-PT-Partido Verde,Desconocido,-109652.47242672744
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,Ninguno,Desconocido,-66368.41332833441
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Mujeres,2,148568.65384615384,150409.19533325185,PAN-PRI-PRD,Desconocido,150409.19533325185
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,PAN-PRI-PRD,Desconocido,69652.77815719323
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,Ninguno,Desconocido,-93311.13482870725
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,PAN-PRI-PRD,Desconocido,-93311.13482870725
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,2,170661.0888888889,172775.32231701558,MORENA-PT-Partido Verde,Desconocido,-172775.32231701558
NA,NA,Hombres,5,108310.66666666669,109652.47242672744,MORENA-PT-Partido Verde,Desconocido,-109652.47242672744
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Mujeres,5,145739.8260869565,147545.3226657521,MORENA-PT-Partido Verde,Desconocido,147545.3226657521
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Mujeres,2,148568.65384615384,150409.19533325185,Movimiento Ciudadano,Desconocido,150409.19533325185
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,PAN-PRI-PRD,Desconocido,-93311.13482870725
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Hombres,2,170661.0888888889,172775.32231701558,PAN-PRI-PRD,Desconocido,-172775.32231701558
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,PAN-PRI-PRD,Desconocido,69652.77815719323
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,Ninguno,Desconocido,-66368.41332833441
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Mujeres,5,145739.8260869565,147545.3226657521,MORENA-PT-Partido Verde,Desconocido,147545.3226657521
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,PAN-PRI-PRD,Desconocido,80995.5576404452
NA,NA,Hombres,2,170661.0888888889,172775.32231701558,PAN-PRI-PRD,Desconocido,-172775.32231701558
NA,NA,Mujeres,5,145739.8260869565,147545.3226657521,MORENA-PT-Partido Verde,Desconocido,147545.3226657521
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,PAN-PRI-PRD,Desconocido,69652.77815719323
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,PAN-PRI-PRD,Desconocido,-93311.13482870725
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,PAN-PRI-PRD,Desconocido,69652.77815719323
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,5,108310.66666666669,109652.47242672744,MORENA-PT-Partido Verde,Desconocido,-109652.47242672744
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,Ninguno,Desconocido,80995.5576404452
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Hombres,5,108310.66666666669,109652.47242672744,MORENA-PT-Partido Verde,Desconocido,-109652.47242672744
NA,NA,Hombres,2,170661.0888888889,172775.32231701558,PAN-PRI-PRD,Desconocido,-172775.32231701558
NA,NA,Mujeres,5,145739.8260869565,147545.3226657521,MORENA-PT-Partido Verde,Desconocido,147545.3226657521
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Mujeres,4,80004.42352941177,80995.5576404452,MORENA-PT-Partido Verde,Desconocido,80995.5576404452
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,PAN-PRI-PRD,Desconocido,-66368.41332833441
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,PAN-PRI-PRD,Desconocido,-66368.41332833441
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Hombres,4,92169.29629629628,93311.13482870725,MORENA-PT-Partido Verde,Desconocido,-93311.13482870725
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Hombres,3,65556.2700421941,66368.41332833441,MORENA-PT-Partido Verde,Desconocido,-66368.41332833441
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
NA,NA,Mujeres,3,68800.44444444444,69652.77815719323,MORENA-PT-Partido Verde,Desconocido,69652.77815719323
